bussinessunitname,brandname,categoryname,skucode,skuvariantname,skupacktypename,piecesincarton,piecesinbox
Biscuit,PEANUT,NUTS,SKU00696,PEANUT PISTA,Snack Pack,288,16
Cake,SMILE,Donut Cake,SKU00685,Smile Chocolate,Donut Cake,144,6
Cake,SMILE,Donut Cake,SKU00686,Smile Strawberry,Donut Cake,144,6
Biscuit,RIO,CREAM,SKU00730,RIO STRAWBERRY VANILLA,Packet,96,1
Biscuit,RIO,CREAM,SKU00731,RIO STRAWBERRY VANILLA,Half Roll,144,8
Biscuit,RIO,CREAM,SKU00732,RIO STRAWBERRY VANILLA,Munch Pack,216,12
Biscuit,RIO,CREAM,SKU00733,RIO STRAWBERRY VANILLA,Snack Pack,288,16
Biscuit,RIO,CREAM,SKU00734,RIO STRAWBERRY VANILLA,Ticky Pack,432,24
Biscuit,RIO,CREAM,SKU00735,RIO DOUBLE CHOCOLATE,Half Roll,144,8
Biscuit,RIO,CREAM,SKU00736,RIO DOUBLE CHOCOLATE,Munch Pack,216,12
Biscuit,RIO,CREAM,SKU00737,RIO DOUBLE CHOCOLATE,Snack Pack,288,16
Biscuit,RIO,CREAM,SKU00738,RIO DOUBLE CHOCOLATE,Ticky Pack,432,24
Biscuit,OSW,CREAM,SKU00743,CHOCOLATE SANDWICH,Half Roll,144,8
Biscuit,OSW,CREAM,SKU00744,CHOCOLATE SANDWICH,Munch Pack,216,12
Biscuit,OSW,CREAM,SKU00745,CHOCOLATE SANDWICH,Snack Pack,288,16
Biscuit,OSW,CREAM,SKU00746,CHOCOLATE SANDWICH,Ticky Pack,432,24
Biscuit,OSW,CREAM,SKU00747,LEMON SANDWICH,Half Roll,144,8
Biscuit,OSW,CREAM,SKU00748,LEMON SANDWICH,Munch Pack,216,12
Biscuit,OSW,CREAM,SKU00749,LEMON SANDWICH,Snack Pack,288,16
Biscuit,OSW,CREAM,SKU00750,LEMON SANDWICH,Ticky Pack,432,24
Biscuit,PEANUT,NUTS,SKU00756,PEANUT PIK,Packet,96,1
Biscuit,PEANUT,NUTS,SKU00757,PEANUT PIK,Half Roll,144,8
Biscuit,PEANUT,NUTS,SKU00758,PEANUT PIK,Munch Pack,216,12
Biscuit,PEANUT,NUTS,SKU00759,PEANUT PIK,Snack Pack,288,16
Biscuit,PEANUT,NUTS,SKU00760,PEANUT PISTA,Packet,96,1
Biscuit,PEANUT,NUTS,SKU00761,PEANUT PISTA,Half Roll,144,8
Biscuit,PEANUT,NUTS,SKU00762,PEANUT PISTA,Munch Pack,216,12
Biscuit,PARTY,NUTS,SKU00764,PARTY,Half Roll,144,8
Biscuit,PARTY,NUTS,SKU00765,PARTY,Munch Pack,216,12
Biscuit,PARTY,NUTS,SKU00766,PARTY,Snack Pack,288,16
